ts_ms,price,equity
1677024000000,200.86,202.841
1677110400000,202.07,204.051
1677196800000,196.88,198.861
1677456000000,207.63,209.611
1677542400000,205.71,207.691
1677628800000,202.77,204.751
1677715200000,190.9,192.881
1677801600000,197.79,199.771
1678060800000,193.81,195.791
1678147200000,187.71,189.691
1678233600000,182,183.981
1678320000000,172.92,174.901
1678406400000,173.44,175.369
1678665600000,174.48,175.369
1678752000000,183.26,175.369
1678838400000,180.45,175.369
1678924800000,184.13,175.369
1679011200000,180.13,175.369
1679270400000,183.25,175.369
1679356800000,197.58,175.31
1679443200000,191.15,168.88
1679529600000,192.22,169.95
1679616000000,190.41,168.14
1679875200000,191.81,169.482
1679961600000,189.19,169.482
1680048000000,193.88,169.482
1680134400000,195.28,169.423
1680220800000,207.46,181.603
1680480000000,194.77,168.913
1680566400000,192.58,166.666
1680652800000,185.52,166.666
1680739200000,185.06,166.666
1681084800000,184.51,166.666
1681171200000,186.79,166.666
1681257600000,180.54,166.666
1681344000000,185.9,166.666
1681430400000,185,166.666
1681689600000,187.04,166.666
1681776000000,184.31,166.666
1681862400000,180.59,166.666
1681948800000,162.99,166.666
1682035200000,165.08,166.666
1682294400000,162.55,166.666
1682380800000,160.67,166.666
1682467200000,153.75,166.666
1682553600000,160.19,166.666
1682640000000,164.31,166.666
1682899200000,161.83,166.666
1682985600000,160.31,166.666
1683072000000,160.61,166.666
1683158400000,161.2,166.666
1683244800000,170.06,166.666
1683504000000,171.79,166.666
1683590400000,169.15,166.666
1683676800000,168.54,166.666
1683763200000,172.08,166.666
1683849600000,167.98,166.666
1684108800000,166.35,166.666
1684195200000,166.52,166.666
1684281600000,173.86,166.666
1684368000000,176.89,166.666
1684454400000,180.14,166.612
1684713600000,188.87,175.342
1684800000000,185.77,172.242
1684886400000,182.9,169.372
1684972800000,184.47,170.942
1685059200000,193.17,179.642
1685404800000,201.16,187.632
1685491200000,203.93,190.402
1685577600000,207.52,193.992
1685664000000,213.97,200.442
1685923200000,217.61,204.082
1686009600000,221.31,207.782
1686096000000,224.57,211.042
1686182400000,234.86,221.332
1686268800000,244.4,230.872
1686528000000,249.83,236.302
1686614400000,258.71,245.182
1686700800000,256.79,243.262
1686787200000,255.9,242.372
1686873600000,260.54,247.012
1687219200000,274.45,260.922
1687305600000,259.46,245.932
1687392000000,264.61,251.082
1687478400000,256.6,243.072
1687737600000,241.05,227.522
1687824000000,250.21,236.682
1687910400000,256.24,242.712
1687996800000,257.5,243.972
1688083200000,261.77,248.242
1688342400000,279.82,266.292
1688515200000,282.48,268.952
1688601600000,276.54,263.012
1688688000000,274.43,260.902
1688947200000,269.61,256.082
1689033600000,269.79,256.262
1689120000000,271.99,258.462
1689206400000,277.9,264.372
1689292800000,281.38,267.852
1689552000000,290.38,276.852
1689638400000,293.34,279.812
1689724800000,291.26,277.732
1689811200000,262.9,249.372
1689897600000,260.02,246.492
1690156800000,269.06,255.532
1690243200000,265.28,251.752
1690329600000,264.35,250.822
1690416000000,255.71,242.182
1690502400000,266.44,252.912
1690761600000,267.43,253.902
1690848000000,261.07,247.542
1690934400000,254.11,240.505
1691020800000,259.32,240.505
1691107200000,253.86,240.505
1691366400000,251.45,240.505
1691452800000,249.7,240.505
1691539200000,242.19,240.505
1691625600000,245.34,240.505
1691712000000,242.65,240.505
1691971200000,239.76,240.505
1692057600000,232.96,240.505
1692144000000,225.6,240.505
1692230400000,219.22,240.505
1692316800000,215.49,240.505
1692576000000,231.28,240.505
1692662400000,233.19,240.505
1692748800000,236.86,240.505
1692835200000,230.04,240.505
1692921600000,238.59,240.505
1693180800000,238.82,240.505
1693267200000,257.18,240.505
1693353600000,256.9,240.428
1693440000000,258.08,241.608
1693526400000,245.01,228.465
1693872000000,256.49,228.465
1693958400000,251.92,228.389
1694044800000,251.49,227.884
1694131200000,248.5,227.884
1694390400000,273.58,227.802
1694476800000,267.48,221.702
1694563200000,271.3,225.522
1694649600000,276.04,230.262
1694736000000,274.39,228.612
1694995200000,265.28,219.502
1695081600000,266.5,220.722
1695168000000,262.59,216.812
1695254400000,255.7,209.922
1695340800000,244.88,199.028
1695600000000,246.99,199.028
1695686400000,244.12,199.028
1695772800000,240.5,199.028
1695859200000,246.38,199.028
1695945600000,250.22,199.028
1696204800000,251.6,198.953
1696291200000,246.53,193.883
1696377600000,261.16,208.513
1696464000000,260.05,207.403
1696550400000,260.53,207.883
1696809600000,259.67,207.023
1696896000000,263.62,210.973
1696982400000,262.99,210.343
1697068800000,258.87,206.223
1697155200000,251.12,198.473
1697414400000,253.92,201.197
1697500800000,254.85,201.12
1697587200000,242.68,188.877
1697673600000,220.11,188.877
1697760000000,211.99,188.877
1698019200000,212.08,188.877
1698105600000,216.52,188.877
1698192000000,212.42,188.877
1698278400000,205.76,188.877
1698364800000,207.3,188.877
1698624000000,197.36,188.877
1698710400000,200.84,188.877
1698796800000,205.66,188.877
1698883200000,218.51,188.877
1698969600000,219.96,188.877
1699228800000,219.27,188.877
1699315200000,222.18,188.877
1699401600000,222.11,188.877
1699488000000,209.98,188.877
1699574400000,214.65,188.877
1699833600000,223.71,188.877
1699920000000,237.41,188.877
1700006400000,242.84,188.805
1700092800000,233.59,179.555
1700179200000,234.3,180.265
1700438400000,235.6,181.565
1700524800000,241.2,187.165
1700611200000,234.21,180.175
1700784000000,235.45,181.415
1701043200000,236.08,182.045
1701129600000,246.72,192.685
1701216000000,244.14,190.105
1701302400000,240.08,186.045
1701388800000,238.83,184.795
1701648000000,235.58,181.545
1701734400000,238.72,184.685
1701820800000,239.37,185.335
1701907200000,242.64,188.605
1701993600000,243.84,189.805
1702252800000,239.74,185.705
1702339200000,237.01,182.975
1702425600000,239.29,185.255
1702512000000,251.05,197.015
1702598400000,253.5,199.465
1702857600000,252.08,198.045
1702944000000,257.22,203.185
1703030400000,247.14,193.105
1703116800000,254.5,200.465
1703203200000,252.54,198.505
1703548800000,256.61,202.575
1703635200000,261.44,207.405
1703721600000,253.18,199.145
1703808000000,248.48,194.445
1704153600000,248.42,194.385
1704240000000,238.45,184.415
1704326400000,237.93,183.823
1704412800000,237.49,183.823
1704672000000,240.45,183.823
1704758400000,234.96,183.823
1704844800000,233.94,183.823
1704931200000,227.22,183.823
1705017600000,218.89,183.823
1705363200000,219.91,183.823
1705449600000,215.55,183.823
1705536000000,211.88,183.823
1705622400000,212.19,183.823
1705881600000,208.8,183.823
1705968000000,209.14,183.823
1706054400000,207.83,183.823
1706140800000,182.63,183.823
1706227200000,183.25,183.823
1706486400000,190.93,183.823
1706572800000,191.59,183.823
1706659200000,187.29,183.823
1706745600000,188.86,183.823
1706832000000,187.91,183.823
1707091200000,181.06,183.823
1707177600000,185.1,183.823
1707264000000,187.58,183.823
1707350400000,189.56,183.823
1707436800000,193.57,183.823
1707696000000,188.13,183.823
1707782400000,184.02,183.823
1707868800000,188.71,183.823
1707955200000,200.45,183.823
1708041600000,199.95,183.823
1708387200000,193.76,183.823
1708473600000,194.77,183.823
1708560000000,197.41,183.823
1708646400000,191.97,183.823
1708905600000,199.4,183.823
1708992000000,199.73,183.823
1709078400000,202.04,183.823
1709164800000,201.88,183.823
1709251200000,202.64,183.823
1709510400000,188.14,183.823
1709596800000,180.74,183.823
1709683200000,176.54,183.823
1709769600000,178.65,183.823
1709856000000,175.34,183.823
1710115200000,177.77,183.823
1710201600000,177.54,183.823
1710288000000,169.48,183.823
1710374400000,162.5,183.823
1710460800000,163.57,183.823
1710720000000,173.8,183.823
1710806400000,171.32,183.823
1710892800000,175.66,183.823
1710979200000,172.82,183.823
1711065600000,170.83,183.823
1711324800000,172.63,183.823
1711411200000,177.67,183.823
1711497600000,179.83,183.823
1711584000000,175.79,183.823
1711929600000,175.22,183.823
1712016000000,166.63,183.823
1712102400000,168.38,183.823
1712188800000,171.11,183.823
1712275200000,164.9,183.823
1712534400000,172.98,183.823
1712620800000,176.88,183.823
1712707200000,171.76,183.823
1712793600000,174.6,183.823
1712880000000,171.05,183.823
1713139200000,161.48,183.823
1713225600000,157.11,183.823
1713312000000,155.45,183.823
1713398400000,149.93,183.823
1713484800000,147.05,183.823
1713744000000,142.05,183.823
1713830400000,144.68,183.823
1713916800000,162.13,183.823
1714003200000,170.18,183.823
1714089600000,168.29,183.823
1714348800000,194.05,183.765
1714435200000,183.28,172.995
1714521600000,179.99,169.705
1714608000000,180.01,169.725
1714694400000,181.19,170.905
1714953600000,184.76,174.475
1715040000000,177.81,167.525
1715126400000,174.72,164.435
1715212800000,171.97,161.685
1715299200000,168.47,158.185
1715558400000,171.89,161.605
1715644800000,177.55,167.265
1715731200000,173.99,163.705
1715817600000,174.84,164.555
1715904000000,177.46,167.175
1716163200000,174.95,164.665
1716249600000,186.6,176.315
1716336000000,180.11,169.825
1716422400000,173.74,163.455
1716508800000,179.24,168.955
1716854400000,176.75,166.465
1716940800000,176.19,165.905
1717027200000,178.79,168.505
1717113600000,178.08,167.795
1717372800000,176.29,166.005
1717459200000,174.77,164.485
1717545600000,175,164.715
1717632000000,177.94,167.655
1717718400000,177.48,167.195
1717977600000,173.79,163.505
1718064000000,170.66,160.375
1718150400000,177.29,167.005
1718236800000,182.47,172.185
1718323200000,178.01,167.725
1718582400000,187.44,177.155
1718668800000,184.86,174.575
1718841600000,181.57,171.285
1718928000000,183.01,172.725
1719187200000,182.58,172.295
1719273600000,187.35,177.065
1719360000000,196.37,186.085
1719446400000,197.42,187.135
1719532800000,197.88,187.595
1719792000000,209.86,199.575
1719878400000,231.26,220.975
1719964800000,246.39,236.105
1720137600000,251.52,241.235
1720396800000,252.94,242.655
1720483200000,262.33,252.045
1720569600000,263.26,252.975
1720656000000,241.03,230.745
1720742400000,248.23,237.945
1721001600000,252.64,242.355
1721088000000,256.56,246.275
1721174400000,248.5,238.215
1721260800000,249.23,238.945
1721347200000,239.2,228.915
1721606400000,251.51,241.225
1721692800000,246.38,236.095
1721779200000,215.99,205.705
1721865600000,220.25,209.965
1721952000000,219.8,209.515
1722211200000,232.1,221.815
1722297600000,222.62,212.335
1722384000000,232.07,221.785
1722470400000,216.86,206.575
1722556800000,207.67,197.323
1722816000000,198.88,197.323
1722902400000,200.64,197.323
1722988800000,191.76,197.323
1723075200000,198.84,197.323
1723161600000,200,197.323
1723420800000,197.49,197.323
1723507200000,207.83,197.323
1723593600000,201.38,197.323
1723680000000,214.14,197.323
1723766400000,216.12,197.323
1724025600000,222.72,197.323
1724112000000,221.1,197.323
1724198400000,223.27,197.323
1724284800000,210.66,197.323
1724371200000,220.32,197.323
1724630400000,213.21,197.323
1724716800000,209.21,197.323
1724803200000,205.75,197.323
1724889600000,206.28,197.323
1724976000000,214.11,197.323
1725321600000,210.6,197.323
1725408000000,219.41,197.323
1725494400000,230.17,197.254
1725580800000,210.73,177.75
1725840000000,216.27,177.75
1725926400000,226.17,177.683
1726012800000,228.13,179.643
1726099200000,229.81,181.323
1726185600000,230.29,181.803
1726444800000,226.78,178.293
1726531200000,227.87,179.383
1726617600000,227.2,178.713
1726704000000,243.92,195.433
1726790400000,238.25,189.763
1727049600000,250,201.513
1727136000000,254.27,205.783
1727222400000,257.02,208.533
1727308800000,254.22,205.733
1727395200000,260.46,211.973
1727654400000,261.63,213.143
1727740800000,258.02,209.533
1727827200000,249.02,200.533
1727913600000,240.66,192.173
1728000000000,250.08,201.593
1728259200000,240.83,192.343
1728345600000,244.5,196.013
1728432000000,241.05,192.563
